indicator,sub_indicator,entity,department,year,week_01,week_02,week_03,week_04,week_05,week_06,week_07,week_08,week_09,week_10,week_11,week_12,week_13,week_14,week_15,week_16,week_17,week_18,week_19,week_20,week_21,week_22,week_23,week_24,week_25,week_26,week_27,week_28,week_29,week_30,week_31,week_32,week_33,week_34,week_35,week_36,week_37,week_38,week_39,week_40,week_41,week_42,week_43,week_44,week_45,week_46,week_47,week_48,week_49,week_50,week_51,week_52
TB,TUBERCULOSIS EXTRA PULMONAR,VALLE DEL CAUCA,VALLE DEL CAUCA,2015,2,3,9,2,2,3,3,1,4,5,6,6,4,3,10,8,5,5,4,11,4,5,2,5,3,4,6,5,9,3,5,6,5,2,8,3,4,3,5,4,2,4,5,2,2,5,3,7,2,4,1,1
TB,TUBERCULOSIS PULMONAR,VALLE DEL CAUCA,VALLE DEL CAUCA,2015,36,22,39,33,49,43,32,34,32,33,31,25,34,41,28,37,30,35,33,22,37,25,28,33,30,28,30,23,26,38,29,32,25,29,20,25,29,25,27,22,11,39,29,30,31,22,22,30,16,28,17,4
TB,TUBERCULOSIS FÁRMACORRESISTENTE,VALLE DEL CAUCA,VALLE DEL CAUCA,2015,0,1,3,3,2,2,2,3,3,4,2,2,2,2,0,1,2,1,4,3,0,2,3,0,0,0,2,1,1,2,0,1,0,4,0,0,1,2,1,3,1,2,2,0,1,0,1,1,0,1,1,0
TB,MENINGITIS TUBERCULOSA,ARAUCA,ARAUCA,2015,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0
TB,TUBERCULOSIS EXTRA PULMONAR,ARAUCA,ARAUCA,2015,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,1,2,0,0,1,0,2,0,0,0,0,1,0,0,1,0,0,0,1,1,0,2,1,0,1,0,1,0,0,0,0,0,0,1,0,0
TB,TUBERCULOSIS PULMONAR,ARAUCA,ARAUCA,2015,0,0,4,0,2,1,2,0,2,1,0,5,0,6,1,2,4,3,1,1,1,3,4,2,3,1,4,2,1,0,1,9,2,3,0,1,1,2,1,3,0,1,3,2,3,5,2,0,0,5,1,1
TB,TUBERCULOSIS FÁRMACORRESISTENTE,ARAUCA,ARAUCA,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TB,MENINGITIS TUBERCULOSA,CASANARE,CASANARE,2015,1,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TB,TUBERCULOSIS EXTRA PULMONAR,CASANARE,CASANARE,2015,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,3,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0
TB,TUBERCULOSIS PULMONAR,CASANARE,CASANARE,2015,2,3,2,0,5,3,0,2,2,2,2,1,1,1,2,1,1,0,0,2,0,1,1,1,1,1,4,1,2,2,1,1,4,3,1,2,1,2,0,0,0,4,1,2,1,2,1,0,2,0,0,1
TB,TUBERCULOSIS FÁRMACORRESISTENTE,CASANARE,CASANARE,2015,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TB,MENINGITIS TUBERCULOSA,PUTUMAYO,PUTUMAYO,2015,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TB,TUBERCULOSIS EXTRA PULMONAR,PUTUMAYO,PUTUMAYO,2015,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,2,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
TB,TUBERCULOSIS PULMONAR,PUTUMAYO,PUTUMAYO,2015,2,4,0,1,1,0,3,2,1,0,1,3,0,2,2,0,0,1,1,0,3,3,2,0,2,3,0,2,0,0,2,2,2,2,2,3,1,8,0,2,4,3,3,0,3,1,2,1,3,0,1,0
TB,TUBERCULOSIS EXTRA PULMONAR,SAN ANDRES,SAN ANDRES,2015,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TB,TUBERCULOSIS PULMONAR,SAN ANDRES,SAN ANDRES,2015,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TB,TUBERCULOSIS EXTRA PULMONAR,AMAZONAS,AMAZONAS,2015,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
TB,TUBERCULOSIS PULMONAR,AMAZONAS,AMAZONAS,2015,1,0,0,0,1,0,3,1,1,0,1,1,2,1,1,2,1,1,0,2,1,0,0,0,2,3,1,1,1,3,1,0,4,1,2,0,0,2,2,1,1,1,1,0,1,0,0,0,0,0,0,1
TB,TUBERCULOSIS FÁRMACORRESISTENTE,AMAZONAS,AMAZONAS,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
TB,MENINGITIS TUBERCULOSA,GUAINIA,GUAINIA,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
TB,TUBERCULOSIS EXTRA PULMONAR,GUAINIA,GUAINIA,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TB,TUBERCULOSIS PULMONAR,GUAINIA,GUAINIA,2015,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
TB,TUBERCULOSIS EXTRA PULMONAR,GUAVIARE,GUAVIARE,2015,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TB,TUBERCULOSIS PULMONAR,GUAVIARE,GUAVIARE,2015,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,2,0,2,0,0,1,1,1,2,0,0,0,2,1,1,1,1,0,2,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,2
TB,TUBERCULOSIS FÁRMACORRESISTENTE,GUAVIARE,GUAVIARE,2015,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
TB,MENINGITIS TUBERCULOSA,VAUPES,VAUPES,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
TB,TUBERCULOSIS EXTRA PULMONAR,VAUPES,VAUPES,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TB,TUBERCULOSIS PULMONAR,VAUPES,VAUPES,2015,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
TB,MENINGITIS TUBERCULOSA,VICHADA,VICHADA,2015,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TB,TUBERCULOSIS EXTRA PULMONAR,VICHADA,VICHADA,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TB,TUBERCULOSIS PULMONAR,VICHADA,VICHADA,2015,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,2,2,0,0,0,3,1,0,0,0,2,0,0,1,1,2,0,0,1,0
